,City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
143,kaitangata,nz,-46.2818,169.8464,63.27,51,92,20.83
145,nanakuli,us,21.3906,-158.1548,71.06,89,76,16.91
147,upernavik,gl,72.7868,-56.1549,2.79,95,68,5.28
148,castro,cl,-42.4824,-73.7644,51.3,92,76,10.98
149,kirkwall,gb,58.9848,-2.9588,41.14,97,68,20.71
151,pires do rio,br,-17.3007,-48.2794,65.61,91,8,4.05
152,tessalit,ml,20.2009,1.014,61.65,29,0,6.96
153,madera,mx,29.1955,-108.1423,51.21,77,92,2.71
154,barrow,us,39.5062,-90.4016,22.77,62,0,9.75
155,thompson,ca,55.7433,-97.8635,15.84,64,0,10.98
156,ambon,id,-3.6955,128.1814,85.68,88,80,12.77
158,mahenge,tz,-8.6838,36.7187,74.79,85,80,3.38
160,severo-kurilsk,ru,50.6789,156.125,31.95,96,80,7.52
161,yarada,in,17.65,83.2667,82.26,96,0,17.47
163,awjilah,ly,29.1403,21.2975,55.8,43,0,11.21
165,chokwe,mz,-24.5334,32.9833,74.34,91,0,4.61
168,chokurdakh,ru,70.6192,147.9022,-18.28,53,48,10.76
171,bibiani,gh,6.4529,-2.315,70.38,96,12,2.93
172,bida,ng,9.0833,6.0167,72.45,88,20,3.15
173,tiksi,ru,71.6366,128.8685,-21.88,32,8,4.05
175,pierre,us,44.3683,-100.3512,20.73,74,0,5.73
176,shahr-e babak,ir,30.1192,55.1243,54.45,46,0,4.61
177,aberdeen,us,46.9754,-123.8158,46.45,94,56,4.72
180,east london,za,-33.0153,27.9116,68.36,100,48,17.92
181,nelson,ca,49.4949,-117.2901,22.06,87,44,1.7
183,kattivakkam,in,13.2167,80.3167,87.71,95,20,3.27
185,norman wells,ca,65.2824,-126.8328,12.58,78,20,2.26
186,new norfolk,au,-42.7802,147.0615,68.4,57,76,9.98
187,puerto carreno,co,6.189,-67.4859,79.66,65,48,5.28
188,cape town,za,-33.929,18.4174,64.2,100,76,12.44
189,mahebourg,mu,-20.4081,57.7,79.59,86,92,18.14
190,witu,ke,-2.3878,40.4393,82.17,79,88,2.59
192,ambilobe,mg,-13.1945,49.05,77.85,100,80,3.15
194,port keats,au,-14.25,129.55,92.43,62,0,14.23
195,haines junction,ca,60.7527,-137.5101,22.5,79,44,1.92
196,rio gallegos,ar,-51.6227,-69.2182,39.61,100,0,15.9
198,aracruz,br,-19.8246,-40.2736,76.24,100,76,2.82
200,port lincoln,au,-34.7212,135.8592,67.95,84,0,9.64
202,chumikan,ru,54.7183,135.315,15.12,60,56,4.38
204,ellisras,za,-23.6698,27.74,68.85,88,0,4.38
208,hamilton,bm,32.2956,-64.7828,62.87,100,48,21.27
209,kachiry,kz,53.0675,76.1036,7.38,85,0,6.29
212,riverton,us,43.025,-108.3799,31.66,72,0,3.04
215,kapaa,us,22.0752,-159.319,69.22,91,92,11.21
216,pevek,ru,69.7028,170.2747,-27.91,44,0,3.15
219,chernyshevsk,ru,52.5141,117.0137,15.75,29,32,6.06
220,fort-shevchenko,kz,44.5086,50.263,28.08,100,0,15.01
221,mar del plata,ar,-46.4276,-67.5191,55.98,59,76,16.69
224,ribeira grande,pt,38.5167,-28.7001,60.21,100,0,24.85
228,vila velha,br,-3.7125,-38.6045,80.22,100,44,11.99
230,romny,ru,50.725,129.2894,22.5,63,68,8.75
231,torbay,ca,47.6577,-52.727,31.1,92,64,21.83
233,victoria,sc,-4.6167,55.45,82.49,100,56,22.73
241,carnarvon,au,-24.8667,113.6333,88.29,69,0,11.99
243,stornoway,gb,58.2093,-6.3865,41.97,92,76,18.7
244,constitucion,mx,23.9912,-104.675,47.3,64,0,3.38
245,cayenne,gf,4.9371,-52.3259,79.07,82,100,9.98
247,luena,ao,-11.7791,19.9123,64.89,97,64,4.72
249,sunbury,us,40.862,-76.7937,25.43,63,44,7.07
251,georgetown,sh,-7.9334,-14.4167,77.76,100,92,11.1
253,fort nelson,ca,58.8063,-122.694,27,96,12,3.6
255,porbandar,in,21.6422,69.6093,84.09,59,0,4.94
258,gambela,et,8.2468,34.5876,73.8,65,8,4.94
262,saint augustine,us,40.7184,-90.411,20.95,67,0,6.06
263,massaguet,td,12.4755,15.4365,74.73,16,0,9.31
265,sindor,ru,62.8662,51.8991,27.54,91,92,5.17
267,luderitz,na,-26.6481,15.1594,59.45,93,56,11.43
269,pochutla,mx,15.7432,-96.4661,79.65,100,12,1.7
270,tuatapere,nz,-46.1324,167.6908,59.13,96,76,19.82
272,revyakino,ru,54.3669,37.6589,18.18,84,24,16.02
277,sitka,us,37.175,-99.6516,34.02,54,0,8.19
278,chivay,pe,-15.6367,-71.6023,28.35,88,36,2.37
280,sindgi,in,16.9167,76.2333,94.5,22,8,12.21
284,talnakh,ru,69.494,88.3908,1.71,88,68,20.83
289,dawson creek,ca,55.7593,-120.2282,12.07,91,8,2.93
291,orissaare,ee,58.5592,23.0826,28.85,92,0,21.72
294,la ronge,ca,55.1004,-105.3013,19.24,82,8,6.29
295,mina,mx,26.0014,-100.5324,46.89,78,48,5.39
296,khatanga,ru,71.9801,102.4743,-30.61,52,0,4.61
302,nemuro,jp,43.3236,145.575,34.88,100,0,21.39
304,russell,nz,-35.2613,174.1236,69.75,55,0,6.17
308,galveston,us,40.5789,-86.1903,22.78,81,20,8.63
310,ostrovnoy,ru,68.0544,39.5129,7.56,74,48,8.41
311,inuvik,ca,68.3583,-133.7065,-1.81,60,0,2.71
314,hashtrud,ir,37.476,47.0499,47.97,55,0,6.73
315,dakar,sn,14.6934,-17.448,66.29,86,0,7.96
317,mogadishu,so,2.0428,45.3386,80.37,100,0,6.4
321,palmas,br,-10.1836,-48.3338,72.63,98,92,2.93
322,saint-pierre,pm,46.7654,-56.1695,35.37,91,92,43.2
323,kieta,pg,-6.2167,155.6333,83.52,92,88,1.48
326,loreto,ph,8.187,125.8533,83.43,85,36,8.63
329,antalaha,mg,-14.902,50.2794,79.65,95,56,18.03
330,anadyr,ru,64.7317,177.5061,-4.09,73,56,5.95
333,grand gaube,mu,-20.0064,57.6608,82.13,100,80,28.1
334,bethel,us,60.7922,-161.7559,16.59,82,76,5.28
335,port alfred,za,-33.5906,26.891,70.56,90,68,12.77
336,montlucon,fr,46.3333,2.6,33.84,82,0,5.5
337,comodoro rivadavia,ar,-45.8654,-67.4808,58.03,94,68,19.93
338,greenwood,us,34.1954,-82.1618,38.16,59,0,7.29
339,qaanaaq,gl,77.484,-69.3633,-10.27,100,36,1.7
344,dingle,ie,52.1408,-10.2689,49.59,91,92,27.76
348,dzialdowo,pl,53.2396,20.17,44.01,99,92,6.29
351,slonim,by,53.0927,25.3193,43.2,95,76,8.3
356,sechura,pe,-5.5576,-80.8224,72.81,86,24,6.29
357,svetlogorsk,ru,53.1375,59.1545,18.41,71,0,4.16
358,saint-philippe,re,-21.3586,55.7679,80.13,100,76,23.29
360,navahrudak,by,53.5942,25.8218,39.42,97,92,7.52
362,port-gentil,ga,-0.7194,8.7815,81.18,97,92,4.16
365,hambantota,lk,6.1241,81.1185,82.08,100,20,9.64
367,ramsar,ir,36.9226,50.6426,48.9,100,92,3.83
369,kununurra,au,-15.7731,128.7388,101.28,35,0,11.21
370,ternate,id,0.8,127.4,84.06,100,12,13.78
374,dubuque,us,42.5006,-90.6648,18.14,71,20,2.82
375,topolobampo,mx,25.6014,-109.0544,55.58,85,0,3.04
376,krasnoyarka,ru,55.3258,73.0953,10.15,90,20,4.5
378,mayo,ca,63.5927,-135.8962,20.21,82,36,3.27
379,san carlos park,us,26.4723,-81.8145,46.29,74,0,10.54
381,chimbote,pe,-9.0784,-78.5901,66.06,95,0,4.38
382,mount gambier,au,-37.8302,140.7843,65.43,66,56,5.39
387,guantanamo,cu,20.1444,-75.2092,72.79,100,32,1.48
388,meulaboh,id,4.1363,96.1285,86.76,96,0,6.06
389,saskylakh,ru,71.965,114.0939,-26.11,40,24,4.61
391,churapcha,ru,62.0025,132.4325,-2.26,59,48,5.73
392,beidao,cn,34.5703,105.892,59.94,74,0,5.17
395,orange walk,bz,18.0812,-88.5633,71.06,97,92,5.95
396,lujan,ar,-46.5688,-67.6724,53.19,32,36,18.81
401,zaysan,kz,47.4667,84.8667,38.25,94,76,2.15
402,pandamatenga,bw,-18.5425,25.6446,68.94,76,20,7.96
403,phan thiet,vn,10.931,108.1015,84.51,73,0,11.65
405,teahupoo,pf,-17.8334,-149.2667,77.25,100,68,11.1
411,chernukha,ru,55.6011,43.7637,17.91,76,8,15.46
415,calvinia,za,-31.4695,19.7772,53.91,87,64,2.93
416,siatista,gr,40.2586,21.5515,34.29,100,24,2.48
417,homer,us,59.6441,-151.5402,33.53,98,92,3.6
418,tornio,fi,61.1164,27.27,27.82,88,64,10.65
419,wanning,cn,18.8003,110.3967,74.43,96,92,8.52
422,raudeberg,no,61.9875,5.1352,29.19,100,76,2.93
424,muncar,id,-8.4324,114.3367,83.88,86,56,4.72
427,imeni zhelyabova,ru,58.9544,36.5956,35.46,98,80,15.01
434,saldanha,za,-33.0117,17.9442,64.02,98,44,4.16
437,ankazoabo,mg,-22.2927,44.5101,85.05,45,0,10.2
438,kodiak,us,39.9519,-94.7572,14.59,67,0,2.93
439,nouadhibou,mr,20.931,-17.0347,65.53,53,76,13.44
441,aketi,cd,2.7359,23.7791,75.33,90,20,3.27
444,neuquen,ar,-38.9517,-68.0591,52.23,38,0,11.77
445,arauco,cl,-37.2463,-73.3176,45.36,88,36,4.16
446,padang,id,-0.9248,100.3633,83.43,100,48,8.86
450,geraldton,au,-28.7667,114.6,93.6,70,0,17.25
452,kamenka,ru,53.185,44.0529,9.45,83,0,13.67
455,buraydah,sa,26.3317,43.9717,77,26,0,9.08
463,beringovskiy,ru,63.05,179.3167,4.32,96,68,23.17
464,aktyubinskiy,ru,54.8137,52.8056,8.64,79,12,9.64
467,honningsvag,no,70.9821,25.9704,24.93,99,76,9.98
468,portland,au,-33.3484,149.9844,62.64,97,92,2.82
477,hovd,mn,48.0056,91.6419,30.06,59,0,4.83
478,edson,ca,53.5859,-116.4429,13.75,85,0,2.37
482,kasongo-lunda,cd,-6.4787,16.8168,68.04,97,76,2.93
491,leningradskiy,ru,69.3833,178.4167,-18.19,53,36,7.74
493,ola,ru,59.5781,151.2991,6.46,100,12,7.96
494,paro,bt,27.431,89.4102,45.45,38,0,1.92
495,katy,us,29.7858,-95.8244,49.66,48,0,8.19
500,baruun-urt,mn,46.6808,113.2846,16.38,42,64,16.46
503,qaqortoq,gl,60.7167,-46.0334,17.4,100,24,5.39
515,rodrigues alves,br,-7.7381,-72.651,74.91,92,8,2.48
522,kropotkin,ru,45.4344,40.575,38.25,76,76,15.46
523,ayagoz,kz,47.9649,80.4301,30.6,99,88,3.71
528,del rio,us,29.3627,-100.8968,46.83,48,48,8.75
529,rancho palos verdes,us,33.7483,-118.3708,59.86,98,80,3.83
530,flinders,au,-34.581,150.846,75.29,81,48,5.17
534,jasper,us,33.8312,-87.2776,36.32,53,0,6.62
538,hasaki,jp,35.7333,140.8333,65.08,100,0,3.71
540,matara,lk,5.9485,80.5353,83.25,94,48,11.43
545,cerritos,mx,20.8865,-100.5992,35.96,78,0,5.28
547,kloulklubed,pw,7.0419,134.2556,84.85,100,80,5.73
548,berezovyy,ru,51.6667,135.7,26.28,58,80,3.71
549,harper,lr,4.377,-7.7141,80.46,100,88,3.94
555,bonthe,sl,7.5273,-12.502,77.4,95,88,2.93
564,medvedevo,ru,54.9634,60.7665,22.08,83,44,8.52
565,trelew,ar,-43.2532,-65.3095,58.59,38,44,12.66
571,inzer,ru,54.2167,57.5556,10.26,70,20,3.15
572,praia,cv,14.9215,-23.5087,72.57,100,0,14.79
573,minab,ir,27.1483,57.0737,74.08,70,0,7.96
574,arlit,ne,18.7391,7.3933,57.42,27,0,2.15
576,noumea,nc,-22.2764,166.4572,87.93,82,32,8.19
577,bardiyah,ly,31.7561,25.0865,59.31,100,0,6.29
579,panaba,mx,21.2833,-88.2667,68.94,75,12,4.05
580,marawi,sd,18.4833,31.8167,71.01,26,0,4.61
583,sunrise manor,us,36.2111,-115.0731,67.1,40,48,6.96
592,semirom,ir,31.4137,51.5708,46.26,30,0,3.15
594,khotiv,ua,50.3263,30.4686,33.94,96,92,10.09
597,namatanai,pg,-3.6642,152.4407,84.33,95,64,10.2
605,sorsk,ru,54.0016,90.2526,10.8,90,0,3.94
609,bourail,nc,-21.567,165.4968,80.19,84,56,10.87
612,sao filipe,cv,14.8961,-24.4956,72.09,90,0,16.46
613,coquimbo,cl,-29.9532,-71.3381,56.98,100,8,6.62
619,shache,cn,38.4167,77.2406,60.75,40,36,6.85
621,havoysund,no,70.9963,24.6622,21.13,100,76,8.63
626,abu dhabi,ae,24.4748,54.3706,77.36,77,0,12.44
631,paita,pe,-5.0851,-81.1138,72.9,82,44,2.71
635,coutances,fr,49.0478,-1.4455,42.55,88,20,14.23
636,yar-sale,ru,66.8333,70.8333,0.27,96,80,13
639,wegrow,pl,52.3995,22.0163,43.74,92,64,8.08
640,cuenca,es,40.0681,-2.1349,36.9,90,92,5.06
641,lewistown,us,40.3931,-90.1549,22.48,74,8,5.84
645,fairbanks,us,64.8378,-147.7167,18.12,79,48,2.71
646,beisfjord,no,68.3751,17.5988,2.98,79,0,2.04
648,paamiut,gl,61.994,-49.6678,22.59,100,0,10.76
650,ust-tsilma,ru,65.441,52.1498,22.32,87,92,5.28
651,karpathos,gr,35.507,27.2132,59.36,100,12,20.49
654,ponta delgada,pt,37.7333,-25.6667,58.41,100,48,29.33
660,santa cecilia,ph,14.1042,122.2497,81.72,88,0,13.78
662,labuhan,id,-2.5409,115.5092,81.36,89,44,2.93
665,lere,ng,10.387,8.5726,59.22,63,8,3.83
669,krasnovishersk,ru,60.4018,57.0767,23.31,86,92,13.22
670,vestmannaeyjar,is,63.4427,-20.2734,40.41,93,92,16.46
677,sur,om,22.5702,59.5299,78.84,85,0,3.38
678,batemans bay,au,-35.7073,150.1783,71.73,85,80,6.4
681,hondo,us,29.3474,-99.1413,53.22,38,0,9.08
683,lorengau,pg,-2.0226,147.2712,84.06,97,24,11.21
684,kisangani,cd,0.5184,25.2057,76.41,86,0,3.94
685,uray,ru,60.1291,64.8036,18.27,76,76,11.65
686,lima,pe,-12.0622,-77.0366,58.68,81,12,1.81
696,gizo,sb,-8.1031,156.8419,79.65,100,92,1.36
699,bilma,ne,18.6929,12.9187,57.15,33,0,2.71
703,quelimane,mz,-17.8776,36.8902,78.6,94,92,5.28
704,olinda,br,-22.8173,-43.4117,73.11,100,8,2.04
705,breves,br,-1.6823,-50.4803,75.69,100,76,5.95
710,cabo san lucas,mx,22.8938,-109.9112,70.88,100,0,7.07
711,micheweni,tz,-4.9667,39.8333,80.91,100,48,10.42
712,souillac,mu,-20.5167,57.5167,79.59,86,92,18.14
715,port augusta,au,-32.4909,137.764,79.9,40,0,9.31
717,pitimbu,br,-7.4729,-34.8113,79.23,96,92,8.63
719,charters towers,au,-20.0715,146.271,82.98,69,0,7.74
720,manggar,id,-2.8834,108.2667,82.53,100,56,5.28
724,dalby,au,-27.1823,151.2634,80.8,57,88,18.92
725,visby,se,57.6379,18.298,30.56,100,24,20.83
726,naifaru,mv,5.4444,73.3657,79.74,100,92,1.59
727,zyryanskoye,ru,56.8342,86.6212,7.02,86,0,2.82
729,semey,kz,50.405,80.2492,17.64,86,68,2.71
730,marau,br,-28.4494,-52.2002,59.49,70,0,3.94
732,itaituba,br,-4.2626,-55.9879,73.35,100,76,2.59
734,koson,uz,39.0389,65.5875,50.25,89,64,4.61
735,daru,pg,-9.07,143.21,82.26,100,56,4.05
737,puteyets,ru,65.1716,57.091,21.33,82,80,4.05
740,muli,mv,2.9167,73.5667,81.36,100,64,4.83
744,colares,pt,38.7992,-9.4463,57.25,97,92,27.54
745,asyut,eg,27.1802,31.1877,64.09,49,0,2.93
752,manicore,br,-5.8092,-61.3003,75.69,95,36,2.04
754,kormend,hu,47.011,16.606,44.19,97,80,3.15
755,helena,us,46.5927,-112.0362,18.1,62,8,5.5
756,bulgan,mn,48.8129,103.5323,18.45,41,0,4.16
760,bambanglipuro,id,-7.95,110.2833,85.68,66,80,5.84
761,pacasmayo,pe,-7.4029,-79.5685,67.95,96,12,5.61
762,acajutla,sv,13.5905,-89.8329,71.73,87,0,2.71
763,kenai,us,60.5544,-151.2584,24.04,83,36,1.92
766,tshikapa,cd,-6.4231,20.7888,69.21,100,88,2.59
769,zapolyarnyy,ru,69.4262,30.8199,19.56,84,76,4.61
774,toppenish,us,46.3775,-120.309,39.56,88,88,4.83
782,doctor arroyo,mx,23.6729,-100.1795,44.73,96,36,4.16
785,beipiao,cn,41.7998,120.7635,59.94,65,48,8.97
786,samarkand,uz,39.6548,66.9758,39.56,100,88,6.06
787,vila do maio,cv,15.1333,-23.2167,72.57,100,0,14.79
789,berezanka,ua,46.8553,31.3875,42.39,98,92,9.19
796,pokhara,np,28.2095,83.9914,65.25,53,56,1.7
798,twentynine palms,us,34.1357,-116.0544,54.21,75,0,2.59
799,mikumi,tz,-7.4049,36.977,74.43,87,64,3.27
800,bosaso,so,11.2785,49.18,76.95,100,32,2.15
804,teya,ru,60.3731,92.6306,8.19,50,64,7.4
805,inhambane,mz,-23.866,35.3844,76.95,97,88,5.28
807,iqaluit,ca,63.7494,-68.5219,-10.14,57,8,5.84
820,adrar,dz,27.8734,-0.2875,53.69,44,0,4.16
822,narsaq,gl,60.9127,-46.0453,4.32,29,0,1.48
826,zheleznodorozhnyy,ru,55.7503,38.0042,20.98,89,88,13.22
828,griffith,au,-34.2871,146.0551,78.03,67,0,4.72
830,nara,ml,15.1713,-7.2889,67.23,53,24,2.93
831,newcastle,au,-32.9273,151.7813,81.68,84,0,9.64
836,buala,sb,-8.1456,159.593,82.35,97,76,3.38
842,aswan,eg,24.0911,32.8973,72.91,42,0,3.6
843,alice springs,au,-23.6984,133.8813,94.73,21,0,9.64
846,marsabit,ke,2.3381,37.9916,75.51,79,48,3.38
847,prince rupert,ca,54.3161,-130.3202,38.79,98,44,2.59
848,lucapa,ao,-8.4196,20.7411,66.15,98,92,3.04
851,port-cartier,ca,50.0257,-66.8819,31.53,93,80,32.12
852,dukat,ru,62.55,155.55,-14.14,77,0,2.71
853,anshun,cn,26.2497,105.9278,65.61,73,20,5.95
864,isiro,cd,2.7743,27.6208,73.89,86,12,2.93
865,mbandaka,cd,0.0471,18.2565,75.6,94,20,3.38
866,mackay,au,-21.15,149.2,83.55,100,0,14.79
871,aklavik,ca,68.2183,-135.0136,-1.14,34,0,3.15
874,shelburne,ca,44.0785,-80.2035,27.23,79,68,16.35
875,suntar,ru,62.1575,117.6463,3.69,45,44,6.62
877,kultuk,ru,51.7256,103.7115,16.83,50,0,4.05
879,mindelo,cv,16.8901,-24.9805,69.39,100,8,13.67
880,te anau,nz,-45.4145,167.7175,54.63,71,88,13.56
882,saint-louis,re,-21.2667,55.4167,82.63,84,0,7.63
885,sweetwater,us,32.471,-100.406,41.88,46,32,8.41
886,alofi,nu,-19.0596,-169.9187,83.1,98,0,16.8
888,qala,mt,36.0363,14.3104,56.68,98,12,10.54
891,filingue,ne,14.3521,3.3168,63.09,56,8,2.82
893,bulawayo,zw,-20.1561,28.5887,66.15,78,0,6.51
894,okato,nz,-39.1896,173.8803,65.88,91,0,11.77
896,aksu,cn,41.1231,80.2644,53.55,55,88,6.06
897,guerrero negro,mx,27.971,-114.0364,58.95,98,80,9.98
902,zhigansk,ru,66.7656,123.3741,-8.02,64,76,4.16
905,los llanos de aridane,es,28.6585,-17.9183,60.64,100,0,5.73
908,saint george,bm,32.3817,-64.6781,62.87,100,48,21.27
909,rivera,co,2.7779,-75.2583,73.35,56,48,2.71
914,wicklow,ie,53,-6.4167,46.26,96,92,24.07
916,tagusao,ph,9.1924,117.8141,84.15,79,64,4.94
920,antofagasta,cl,-23.6464,-70.3981,57.36,90,0,1.14
925,traralgon,au,-38.1947,146.5382,71.64,50,20,4.94
930,takoradi,gh,4.8874,-1.752,78.93,100,20,4.94
941,mecca,sa,21.426,39.8297,85.82,36,0,3.94
943,pangnirtung,ca,66.149,-65.7179,2.79,84,56,10.65
948,khorixas,na,-20.3739,14.9604,68.49,43,0,4.94
950,napasar,in,27.9687,73.5617,87.03,22,0,9.64
951,tabou,ci,4.4194,-7.3604,80.55,100,56,4.5
965,santa rosa,ec,-3.4504,-79.9602,71.55,95,48,0.81
967,muzhi,ru,65.4,64.7019,17.91,86,80,5.39
972,chiredzi,zw,-21.0456,31.6709,73.89,76,0,4.38
973,aldan,ru,58.6084,125.3882,2.34,46,48,7.96
974,halifax,ca,44.6491,-63.5752,38.66,88,92,42.64
975,ancud,cl,-41.8682,-73.8288,52.74,97,100,9.86
980,solnechnyy,ru,50.7238,136.6401,25.83,71,36,6.62
982,beyneu,kz,45.3214,55.1862,18.99,100,0,4.61
990,qujing,cn,25.4903,103.7965,66.15,44,8,9.64
991,wukari,ng,7.8705,9.7776,78.57,81,0,13.22
992,demirci,tr,39.0508,28.6622,43.38,93,76,3.04
996,the valley,ai,18.217,-63.0579,77.29,99,56,16.46
998,utiel,es,39.5681,-1.2052,47.28,87,32,6.73
999,srednekolymsk,ru,67.4555,153.7071,-12.7,40,36,3.04
1001,salym,ru,60.0625,71.4789,15.03,66,24,10.76
1005,salalah,om,17.0149,54.0957,75.63,99,0,3.94
1006,izhma,ru,65.0087,53.9083,23.31,83,88,3.38
1015,porto novo,cv,17.0197,-25.0648,67.48,100,8,13.67
1020,esperance,au,-33.8583,121.8932,86.58,46,92,9.42
